true_SD,true_var,err_SD,err_var,obs_var,sep_coef,strata,test_info,WLE_rel,EAP_rel
1,1,1,1,2,1,1.6666666666666667,1,0.5,0.6666666666666667
1,1,0.816496580927726,0.6666666666666667,1.6666666666666667,1.224744871391589,1.9663264951887853,1.4999999999999998,0.6,0.7142857142857142
1,1,0.6546536707079772,0.4285714285714286,1.4285714285714286,1.5275252316519465,2.3700336422025954,2.333333333333333,0.7,0.7692307692307692
1,1,0.5,0.25,1.25,2,3,4,0.8,0.8333333333333334
1,1,0.3333333333333334,0.11111111111111116,1.1111111111111112,2.999999999999999,4.333333333333332,8.999999999999996,0.9,0.9090909090909091
